id,lon,lat,floor,type
N001,100.52981625232604,13.73655005568935,01,door
N002,100.52981672386716,13.73649692150164,01,door
N003,100.52972854582043,13.73637233094766,01,door
N004,100.52984926015205,13.73641080744946,01,door
N006,100.52971015574553,13.736373247055084,01,door
N007,100.52952719808684,13.73637278900081,01,door
N008,100.52942157304739,13.736511121156326,01,door
N009,100.52959557143919,13.736465773869625,01,door
N010,100.52966488787138,13.73655097179605,01,door
N011,100.52948923907462,13.736367063366004,01,elevator
N012,100.52946286993512,13.736587751600737,01,door
N013,100.52973009851797,13.736356029018523,01,stairs
N014,100.52944930953146,13.736595456015294,01,stairs
N015,100.52980717649609,13.736581904135932,01,stairs
N016,100.52931177246116,13.73639343490798,01,corridor
N017,100.52933951523589,13.736393384862861,01,corridor
N018,100.52936725801062,13.736393334817743,01,corridor
N019,100.52939500078537,13.736393284772625,01,corridor
N020,100.5294227435601,13.736393234727506,01,corridor
N021,100.52945048633484,13.736393184682388,01,corridor
N022,100.52947822910957,13.736393134637268,01,corridor
N023,100.52950597188432,13.73639308459215,01,corridor
N024,100.52953371465907,13.736393034547032,01,corridor
N025,100.52956145743379,13.736392984501913,01,corridor
N026,100.52958920020853,13.736392934456795,01,corridor
N027,100.52961694298328,13.736392884411673,01,corridor
N028,100.529644685758,13.736392834366555,01,corridor
N029,100.52967242853275,13.736392784321437,01,corridor
N030,100.5297001713075,13.736392734276318,01,corridor
N031,100.52972791408222,13.7363926842312,01,corridor
N032,100.52975565685696,13.73639263418608,01,corridor
N033,100.52978339963171,13.736392584140962,01,corridor
N034,100.52981114240644,13.736392534095843,01,corridor
N035,100.52983888518118,13.736392484050725,01,corridor
N036,100.52986662795593,13.736392434005607,01,corridor
N037,100.52989437073066,13.736392383960489,01,corridor
N038,100.52992211350539,13.736392333915369,01,corridor
N039,100.52992767824259,13.736392323877155,01,corridor
N040,100.5294410154579,13.736628973263462,01,corridor
N041,100.52944095123132,13.736601833839178,01,corridor
N042,100.52944088700474,13.73657469441489,01,corridor
N043,100.52944082277816,13.736547554990603,01,corridor
N044,100.52944075855157,13.736520415566314,01,corridor
N045,100.52944069432499,13.736493276142028,01,corridor
N046,100.5294406300984,13.736466136717741,01,corridor
N047,100.52944056587182,13.736438997293455,01,corridor
N048,100.52944050164524,13.736411857869168,01,corridor
N049,100.52944044358537,13.736387324240027,01,corridor
N050,100.52979729150371,13.736627862233801,01,corridor
N051,100.52979742205648,13.736600723037288,01,corridor
N052,100.52979755260925,13.736573583840773,01,corridor
N053,100.52979768316202,13.736546444644258,01,corridor
N054,100.52979781371478,13.736519305447743,01,corridor
N055,100.52979794426754,13.736492166251228,01,corridor
N056,100.5297980748203,13.736465027054713,01,corridor
N057,100.52979820537308,13.736437887858198,01,corridor
N058,100.52979833592585,13.736410748661683,01,corridor
N059,100.52979843524723,13.73639010181634,01,corridor
N060,100.5294410154579,13.736441209216352,01,corridor
N061,100.52946875406316,13.736440735737752,01,corridor
N062,100.5294964926684,13.736440262259151,01,corridor
N063,100.52952423127364,13.736439788780551,01,corridor
N064,100.52955196987888,13.73643931530195,01,corridor
N065,100.52957970848414,13.73643884182335,01,corridor
N066,100.52960744708936,13.736438368344748,01,corridor
N067,100.5296351856946,13.736437894866148,01,corridor
N068,100.52966292429984,13.736437421387548,01,corridor
N069,100.5296906629051,13.736436947908947,01,corridor
N070,100.52971840151034,13.736436474430347,01,corridor
N071,100.52974614011558,13.736436000951747,01,corridor
N072,100.52977387872082,13.736435527473146,01,corridor
N073,100.52979900711836,13.736435098548966,01,corridor